X,Y,objectid,id_zar,nazev_zar,adresa_zar,druh_uap,zdroj,id_poskyt,typ_uap,globalid
1616428.5592,6451704.4583,433,27,Poliklinika Michnova,Michnova 1622/4,3,POV_2024,43,03_03,{2C126AF4-A8B4-4BEF-857C-C4FB976F4D02}
1620148.6019,6463891.7457,434,28,Poliklinika Vajgarská,Vajgarská 1141,3,POV_2024,43,03_03,{0130DD4C-CB97-427D-988B-D334999B4E69}
1608685.7917,6453644.9844,435,29,Poliklinika Budějovická,Antala Staška 1670/80,3,POV_2024,43,03_03,{D975E2A9-0297-4C5C-A5AA-96E7685CFCEA}
1608245.8702,6454138.7153,436,30,Poliklinika Pacovská,Pacovská 869/31,3,POV_2024,43,03_03,{D7850E84-DFAE-406C-A74B-43144568CFFE}
1603172.5867,6459150.2011,437,32,Poliklinika Kartouzská ,Kartouzská 204/6,3,POV_2024,43,03_03,{F9B30771-6485-4FF6-BB6C-52D7ACCBBA9F}
1614270.0265,6460180.1558,438,33,Poliklinika Malešice,Plaňanská 573/1,3,POV_2024,43,03_03,{F0EFB948-D583-43D9-A605-E4DBD0787217}
1616118.6641,6450734.7075,439,34,Poliklinika Opatovská,Opatovská 1763/11,3,POV_2024,43,03_03,{1C3B013B-02F0-4B34-97AB-C305FC4904C2}
1612946.1288,6451033.3771,440,35,Poliklinika Jižní Město,Šustova 1930/2,3,POV_2024,43,03_03,{750D6C8D-CA4F-4865-8F55-25CF75950947}
1615604.1521,6465425.0966,441,36,Poliklinika Kolbenova,Kolbenova 473/36,3,POV_2024,43,03_04,{8AE513F1-EBC7-43C1-A3AF-0B8C8EE2B52B}
1605221.4205,6460191.1732,442,37,Městská poliklinika Praha,Spálená 78/12,3,POV_2024,43,03_03,{EA84BEFC-3538-433E-98B7-54AF6C08E51F}
1604734.7639,6468264.1632,443,38,Poliklinika Mazurská,Mazurská 484/2,3,POV_2024,43,03_03,{97D1E944-1DD2-4AFD-B8BD-2194C0A108AB}
1600214.8484,6452020.7008,444,39,Poliklinika Barrandov,Krškova 807/21,3,POV_2024,43,03_03,{471A104E-DADB-4C46-B2B0-AEF6852BD1A4}
1610755.7991,6459805.8314,445,40,Poliklina Vinohrady,Vinohradská 1513/176,3,POV_2024,43,03_03,{08A5B1C0-7F85-4F82-94C6-2CE7F812F9EF}
1606390.4167,6459215.5636,446,41,Poliklinika I. P. Pavlova,Legerova 389/56,3,POV_2024,43,03_03,{3852F5CC-334B-497A-9394-C33DD021775D}
