"Applied filters:
casden is before 01 January 2023";
;
Cesta;Počet cest
B Vysočanská → B Černý Most;959 659
C Budějovická → C I. P. Pavlova;953 515
B Černý Most → B Vysočanská;942 347
B Náměstí Republiky → B Anděl;894 725
B Smíchovské nádraží → B Anděl;883 880
C I. P. Pavlova → C Budějovická;878 273
A Dejvická → A Můstek;815 797
B Anděl → B Náměstí Republiky;804 191
B Anděl → B Smíchovské nádraží;803 852
C I. P. Pavlova → C Pankrác;772 309
C Pankrác → C I. P. Pavlova;763 009
C I. P. Pavlova → C Chodov;738 087
A Můstek → A Dejvická;728 319
C Chodov → C I. P. Pavlova;720 884
C Kačerov → C I. P. Pavlova;709 875
C Florenc → C Kobylisy;708 930
B Smíchovské nádraží → B Karlovo náměstí;706 785
B Smíchovské nádraží → B Náměstí Republiky;701 859
B Karlovo náměstí → B Smíchovské nádraží;674 127
C I. P. Pavlova → C Kačerov;670 870
B Smíchovské nádraží → B Nové Butovice;652 900
C Kobylisy → C Florenc;652 435
B Nové Butovice → B Smíchovské nádraží;645 992
B Palmovka → B Černý Most;636 678
C Hlavní nádraží → C I. P. Pavlova;635 213
B Černý Most → B Palmovka;631 887
C Chodov → C Háje;618 318
B Náměstí Republiky → B Černý Most;608 612
B Náměstí Republiky → B Smíchovské nádraží;603 293
C Nádraží Holešovice → C Kobylisy;602 420
B Karlovo náměstí → B Anděl;600 479
A Můstek → A Nádraží Veleslavín;599 537
C Budějovická → C Hlavní nádraží;597 990
C Hlavní nádraží → C Florenc;593 994
C I. P. Pavlova → C Kobylisy;586 049
C Florenc → C Hlavní nádraží;585 690
C Hlavní nádraží → C Budějovická;585 332
C Budějovická → C Pankrác;584 206
C Kobylisy → C I. P. Pavlova;579 213
C I. P. Pavlova → C Hlavní nádraží;577 375
C Kačerov → C Chodov;576 314
B Černý Most → B Náměstí Republiky;564 910
A Nádraží Veleslavín → A Můstek;562 460
C Háje → C Chodov;560 296
B Můstek → B Anděl;555 931
C Kobylisy → C Nádraží Holešovice;555 688
B Palmovka → B Anděl;554 685
C Hlavní nádraží → C Kobylisy;553 120
B Zličín → B Smíchovské nádraží;543 518
A Můstek → A Jiřího z Poděbrad;541 510
B Smíchovské nádraží → B Zličín;541 443
C Budějovická → C Muzeum;539 013
B Nové Butovice → B Anděl;537 721
C Chodov → C Kačerov;530 185
C Pankrác → C Budějovická;528 245
B Smíchovské nádraží → B Můstek;525 231
C Háje → C I. P. Pavlova;515 848
B Anděl → B Můstek;515 263
A Dejvická → A Nádraží Veleslavín;511 185
C Vltavská → C Kobylisy;506 402
C Muzeum → C Kobylisy;495 840
C Chodov → C Opatov;494 879
B Anděl → B Nové Butovice;492 295
B Florenc → B Anděl;491 532
A Můstek → A Hradčanská;491 219
C Kobylisy → C Hlavní nádraží;490 674
B Anděl → B Palmovka;490 122
A Skalka → A Můstek;485 438
B Nové Butovice → B Karlovo náměstí;484 598
C Pražského povstání → C I. P. Pavlova;484 439
C Budějovická → C Chodov;481 387
C Florenc → C I. P. Pavlova;479 746
C Hlavní nádraží → C Pankrác;479 386
B Můstek → B Černý Most;478 711
A Hradčanská → A Můstek;472 496
C Muzeum → C Budějovická;472 101
B Anděl → B Florenc;470 510
C Budějovická → C Kačerov;469 633
C Kobylisy → C Muzeum;468 957
C I. P. Pavlova → C Vyšehrad;468 266
C Kobylisy → C Vltavská;467 487
A Můstek → A Strašnická;465 816
B Smíchovské nádraží → B Národní třída;465 661
C Opatov → C I. P. Pavlova;464 276
C I. P. Pavlova → C Háje;463 981
C Opatov → C Chodov;460 640
A Můstek → A Skalka;456 783
B Černý Most → B Můstek;456 454
C Muzeum → C Chodov;455 970
C I. P. Pavlova → C Pražského povstání;453 196
C Florenc → C Budějovická;452 933
C Hlavní nádraží → C Chodov;451 745
B Karlovo náměstí → B Nové Butovice;451 501
A Nádraží Veleslavín → A Dejvická;450 991
C Vyšehrad → C I. P. Pavlova;449 721
A Dejvická → A Muzeum;448 856
C Budějovická → C Florenc;447 876
C Kačerov → C Muzeum;445 701
C Pankrác → C Hlavní nádraží;444 726
C Kačerov → C Budějovická;442 941
B Můstek → B Smíchovské nádraží;441 246
B Černý Most → B Florenc;439 224
C Nádraží Holešovice → C Florenc;438 242
B Zličín → B Anděl;437 107
C I. P. Pavlova → C Florenc;436 888
C Chodov → C Hlavní nádraží;436 488
A Strašnická → A Můstek;435 023
C Pankrác → C Kačerov;432 121
A Bořislavka → A Můstek;431 851
C Hlavní nádraží → C Nádraží Holešovice;430 844
C Chodov → C Budějovická;430 524
C Chodov → C Muzeum;430 089
B Karlovo náměstí → B Náměstí Republiky;429 369
C Hlavní nádraží → C Kačerov;428 687
B Anděl → B Zličín;428 646
C Kačerov → C Pankrác;425 864
B Karlovo náměstí → B Černý Most;423 363
C Muzeum → C Kačerov;422 967
C Kačerov → C Hlavní nádraží;421 491
C Hlavní nádraží → C Vltavská;418 242
B Anděl → B Karlovo náměstí;417 665
C Háje → C Kačerov;415 413
B Karlovo náměstí → B Zličín;414 277
C Nádraží Holešovice → C Hlavní nádraží;414 081
B Zličín → B Karlovo náměstí;413 655
C I. P. Pavlova → C Opatov;410 160
A Nemocnice Motol → A Dejvická;408 167
B Florenc → B Černý Most;407 768
B Černý Most → B Anděl;405 466
B Černý Most → B Rajská zahrada;402 654
C Vltavská → C Hlavní nádraží;398 959
C Pankrác → C Muzeum;397 469
C Kačerov → C Háje;396 600
B Anděl → B Černý Most;392 557
C Ládví → C Florenc;392 445
