"Applied filters:
proele_vazkra_nazpln is Hlavní město Praha
progra_nazpln is Základní územní jednotky";
;
Trasa;Počet cest
Praha 1 →  A/B Můstek;9 053 220
Praha 1 →  A/C Muzeum;4 677 550
Praha 8 →  B/C Florenc;4 574 248
Praha 5 →  B Anděl;4 065 705
Praha 4 →  C Budějovická;3 946 005
Praha 6 →  A Dejvická;3 511 645
Praha 4 →  C Pankrác;3 437 757
Praha 8 →  C Kobylisy;3 001 903
Praha 1 →  B/C Florenc;2 725 770
Praha 2 →  C I. P. Pavlova;2 655 013
Praha 1 →  B Náměstí Republiky;2 626 512
Praha 11 →  C Chodov;2 520 581
Praha 4 →  C Kačerov;2 264 504
Praha 4 →  C Pražského povstání;2 233 910
Praha 2 →  A/C Muzeum;2 131 624
Praha 10 →  A Strašnická;1 837 169
Praha 7 →  C Vltavská;1 804 798
Praha 1 →  B Národní třída;1 746 318
Praha 2 →  B Karlovo náměstí;1 729 823
Praha 6 →  A Hradčanská;1 705 841
Praha 8 →  B Palmovka;1 658 870
Praha 13 →  B Nové Butovice;1 649 078
Praha 6 →  A Nádraží Veleslavín;1 613 654
Praha 9 →  B Vysočanská;1 575 994
Praha 6 →  A Bořislavka;1 563 057
Praha 7 →  C Nádraží Holešovice;1 515 385
Praha 11 →  C Háje;1 511 064
Praha 1 →  A Staroměstská;1 483 679
Praha 5 →  B Smíchovské nádraží;1 454 252
Praha 2 →  A Náměstí Míru;1 416 535
Praha 9 →  B Českomoravská;1 373 784
Praha 3 →  B/C Florenc;1 361 252
Praha 8 →  C Ládví;1 353 528
Praha 3 →  A Flora;1 351 001
Praha 4 →  C Vyšehrad;1 333 652
Praha 10 →  A Želivského;1 277 955
Praha 8 →  B Křižíkova;1 263 057
Praha 13 →  B Lužiny;1 261 376
Praha 13 →  B Hůrka;1 241 744
Praha 6 →  A Petřiny;1 240 654
Praha 3 →  A Jiřího z Poděbrad;1 223 122
Praha 10 →  A Skalka;1 222 514
Praha 14 →  B Černý Most;1 168 645
Praha 20 →  B Černý Most;1 138 366
Praha 14 →  B Hloubětín;1 055 938
Praha 11 →  C Opatov;1 050 334
Praha 9 →  C Střížkov;1 007 843
Praha 13 →  B Stodůlky;980 676
Praha 14 →  B Rajská zahrada;958 739
Praha 13 →  B Luka;920 493
Praha 18 →  C Letňany;917 796
Praha 1 →  C Hlavní nádraží;910 036
Praha 12 →  C Kačerov;889 434
Praha 5 →  B Nové Butovice;868 348
Praha 5 →  A Nemocnice Motol;868 066
Praha 4 →  A/C Muzeum;862 342
Praha 2 →  A/B Můstek;852 950
Praha-Zličín →  B Zličín;839 616
Praha 4 →  B Smíchovské nádraží;823 529
Praha 1 →  A Malostranská;820 087
Praha 9 →  C Prosek;798 000
Praha 7 →  B/C Florenc;706 032
Praha 6 →  A/B Můstek;701 470
Praha 1 →  C I. P. Pavlova;690 798
Praha 10 →  C I. P. Pavlova;689 649
Praha 3 →  C Hlavní nádraží;682 601
Praha 9 →  B Palmovka;627 964
Praha 5 →  B Radlická;618 770
Praha 11 →  C Roztyly;608 065
Praha 3 →  A/B Můstek;607 326
Praha 5 →  C I. P. Pavlova;581 232
Praha 4 →  B Karlovo náměstí;576 407
Praha 3 →  A Želivského;569 048
Praha 15 →  A Skalka;567 964
Praha 5 →  A/B Můstek;562 984
Praha-Suchdol →  A Dejvická;552 186
Praha-Kunratice →  C Chodov;542 305
Praha 8 →  B Invalidovna;531 560
Praha 10 →  A Flora;519 642
Praha 4 →  C I. P. Pavlova;513 343
Praha 9 →  B/C Florenc;503 476
Praha 8 →  C Nádraží Holešovice;500 759
Praha 5 →  B Jinonice;497 194
Praha 10 →  A Náměstí Míru;481 573
Praha 10 →  B Karlovo náměstí;470 753
Praha 5 →  B Karlovo náměstí;456 330
Praha 8 →  A/B Můstek;440 598
Praha 4 →  B/C Florenc;430 016
Praha 3 →  A/C Muzeum;421 100
Praha 6 →  C Vltavská;419 820
Praha-Libuš →  C Kačerov;416 399
Praha-Čakovice →  C Letňany;401 115
Praha 10 →  A/B Můstek;395 962
Praha 12 →  B Smíchovské nádraží;393 275
Praha 6 →  A Malostranská;385 739
Praha 1 →  B Karlovo náměstí;382 097
Praha 9 →  B Kolbenova;381 892
Praha 10 →  B/C Florenc;375 406
Praha 7 →  B Palmovka;370 328
Praha 6 →  A/C Muzeum;366 576
